CH_000	GAMMA
-801	-0.0153333333333333
-831	-0.0164285714285714
-756	-0.0164908424908425
-521	-0.0156776556776557
-325	-0.0146373626373626
-185	-0.0135714285714286
-90	-0.0124835164835165
-35	-0.0114175824175824
0	-0.0103443223443223
15	-0.00928937728937729
30	-0.0082051282051282
40	-0.00712454212454213
50	-0.00607326007326007
60	-0.00497802197802198
60	-0.00386813186813187
65	-0.00277289377289377
65	-0.00168131868131868
75	-0.000582417582417583
70	-0.000102564102564103
85	0.000399267399267399
110	0.00148351648351648
125	0.00257875457875458
175	0.00366666666666667
240	0.00474725274725275
315	0.00584615384615385
346	0.0069047619047619
361	0.00802197802197802
366	0.00968498168498168
356	0.0107802197802198
356	0.0118864468864469
356	0.012992673992674
361	0.0140915750915751
371	0.0151758241758242
376	0.0162930402930403
376	0.0166336996336996
336	0.016014652014652
305	0.0149267399267399
280	0.0138168498168498
250	0.0127289377289377
230	0.0116263736263736
215	0.0105531135531136
195	0.00944688644688645
180	0.00836996336996337
165	0.00726007326007326
120	0.00616849816849817
55	0.00507326007326007
15	0.00398168498168498
15	0.00291941391941392
0	0.00182417582417582
-15	0.000754578754578755
-25	-0.000344322344322344
-35	-0.00145421245421245
-45	-0.00253113553113553
-50	-0.00361538461538462
-60	-0.0047032967032967
-75	-0.00579487179487179
-90	-0.00686813186813187
-115	-0.00795238095238095
-140	-0.00904761904761905
-180	-0.0101391941391941
-220	-0.010989010989011
-285	-0.0120586080586081
-416	-0.0136886446886447
-526	-0.0147545787545788
-641	-0.0158241758241758
-686	-0.0165274725274725
-586	-0.0163003663003663
-361	-0.0152783882783883
-200	-0.0141941391941392
-100	-0.0131135531135531
-40	-0.012040293040293
-5	-0.010985347985348
5	-0.00990476190476191
20	-0.00882783882783883
25	-0.00774358974358974
40	-0.00667399267399268
45	-0.00558608058608059
45	-0.00449450549450549
45	-0.00340659340659341
50	-0.00232234432234432
55	-0.00124175824175824
70	-0.000131868131868132
65	-0.000102564102564103
90	0.000366300366300366
95	0.000875457875457876
100	0.00141758241758242
100	0.00196336996336996
105	0.00247252747252747
120	0.00300732600732601
140	0.00352014652014652
170	0.00404761904761905
200	0.00456043956043956
230	0.00506959706959707
265	0.0056007326007326
290	0.00612820512820513
300	0.00664468864468864
305	0.00716849816849817
