#CH_000	GAMMA1
80	0.0172490842490843
95	0.0251245421245421
105	0.0306190476190476
115	0.0355641025641026
135	0.0408754578754579
165	0.0461868131868132
195	0.0511318681318681
225	0.0562564102564103
260	0.0613846153846154
300	0.0665164835164835
346	0.0716446886446887
391	0.0767728937728938
461	0.0842820512820513
506	0.0895934065934066
556	0.0947216117216117
566	0.0981941391941392
451	0.0976373626373626
240	0.0928754578754579
155	0.0877472527472528
100	0.0826153846153846
60	0.0774871794871795
40	0.0723553113553114
20	0.0672344322344322
0	0.0595347985347985
-10	0.0545897435897436
-20	0.0492747252747253
-25	0.0441428571428571
-30	0.0386446886446886
-30	0.0338791208791209
-30	0.0287545787545787
-35	0.0232564102564103
-40	0.0181282051282051
-45	0.0128131868131868
-50	0.00731868131868132
-50	0.00219047619047619
-60	-0.0054981684981685
-70	-0.0108095238095238
-80	-0.0157509157509158
-90	-0.0212454212454212
-100	-0.0263626373626374
-115	-0.0314688644688645
-140	-0.03696336996337
-170	-0.0419084249084249
-205	-0.047032967032967
-245	-0.0521648351648352
-285	-0.0574761904761905
-346	-0.0657179487179487
-386	-0.0704798534798535
-431	-0.0761611721611722
-476	-0.0814688644688645
-521	-0.0867802197802198
-576	-0.0922747252747253
-626	-0.0974029304029304
-616	-0.0997838827838828
-461	-0.0975860805860806
-305	-0.0926410256410256
-215	-0.0876996336996337
-145	-0.0822014652014652
-80	-0.0743296703296703
-55	-0.0686483516483516
-30	-0.0637069597069597
-10	-0.0583919413919414
0	-0.0530805860805861
15	-0.0479523809523809
20	-0.043007326007326
25	-0.0375128205128205
30	-0.0323846153846154
30	-0.0272564102564103
35	-0.0219450549450549
35	-0.0168168498168498
35	-0.00912454212454212
40	-0.00381318681318681
40	-0.000516483516483516
35	-0.000333333333333333
35	-0.000333333333333333
35	-0.000516483516483516
35	-0.000516483516483516
35	-0.000333333333333333
35	-0.000516483516483516
