ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,,PS2C1
139,40,52.15,2.77,0.02,0.1,1.58,-0.39,-0.42,1.06,0,0,0,48,9,0,815,1949,,52.15,,0.021705495,,40
140,45,54.4,2.87,0.02,0.09,1.65,-0.4,-0.43,1.12,0,0,0,50.5,8.5,0,815,1954,,54.4,,0.022650549,,45
141,50,57.24,2.9,0.03,0.1,1.76,-0.41,-0.43,1.2,0,0,0,53,8,0,815,1959,,57.24,,0.023885714,,50
142,55,60.52,3.07,0.01,0.09,1.89,-0.43,-0.42,1.29,0,0,0,56.5,9.5,0,815,2006,,60.52,,0.025252747,,55
143,60,63.11,3.18,0.02,0.1,1.99,-0.44,-0.42,1.37,0,0,0,58.5,9.5,0,815,2011,,63.11,,0.026342857,,60
144,64,66.1,3.28,0.02,0.09,2.13,-0.45,-0.41,1.43,0,0,0,61.5,9,0,815,2016,,66.1,,0.027613187,,64
145,69,68.7,3.41,0.03,0.09,2.25,-0.46,-0.4,1.5,0,0,0,63.5,12,0,815,2022,,68.7,,0.028698901,,69
146,75,71.88,3.49,0.01,0.08,2.4,-0.47,-0.4,1.58,0,0,0,67,10,0,815,2028,,71.88,,0.030061538,,75
147,80,75.94,3.6,0,0.08,2.6,-0.5,-0.39,1.7,0,0,0,70,10.5,0,815,2036,,75.94,,0.031797802,,80
148,86,79.99,3.7,0.01,0.09,2.82,-0.52,-0.38,1.79,0,0,0,74.5,11,0,815,2044,,79.99,,0.033534066,,86
149,90,82.3,3.8,0.02,0.09,2.94,-0.52,-0.36,1.87,0,0,0,76.5,11.5,0,815,2049,,82.3,,0.034505495,,90
150,95,84.25,3.91,0.01,0.09,3.06,-0.54,-0.37,1.92,0,0,0,78.5,12,0,815,2053,,84.25,,0.035314286,,95
151,100,87.24,4.02,0,0.09,3.22,-0.54,-0.36,2,0,0,0,81,12.5,0,815,2059,,87.24,,0.03658022,,100
152,107,92.09,4.13,0.01,0.09,3.49,-0.55,-0.36,2.13,0,0,0,86.5,15,0,815,2108,,92.09,,0.038663736,,107
153,112,93.54,4.23,0.01,0.09,3.55,-0.56,-0.35,2.17,0,0,0,87,14,0,815,2111,,93.54,,0.039257143,,112
154,114,96.16,4.23,0.01,0.08,3.7,-0.57,-0.36,2.23,0,0,0,90.5,14.5,0,815,2117,,96.16,,0.040408791,,114
155,121,102,4.46,0.01,0.09,4,-0.59,-0.34,2.39,0,0,0,95,15.5,0,815,2128,,102,,0.042874725,,121
156,127,104.92,4.55,0.01,0.08,4.13,-0.61,-0.35,2.48,0,0,0,97.5,15,0,815,2135,,104.92,,0.044118681,,127
157,130,107.07,4.66,0.01,0.08,4.24,-0.61,-0.35,2.54,0,0,0,100,15.5,0,815,2139,,107.07,,0.045015385,,130
158,135,110.3,4.76,0.01,0.09,4.38,-0.63,-0.34,2.61,0,0,0,102.5,17,0,815,2146,,110.3,,0.046391209,,135
159,142,114.01,4.87,0.01,0.08,4.53,-0.65,-0.34,2.72,0,0,0,106,17.5,0,815,2153,,114.01,,0.047973626,,142
160,146,117.94,4.96,0.01,0.09,4.68,-0.67,-0.35,2.83,0,0,0,110,17.5,0,815,2201,,117.94,,0.049661538,,146
161,151,120.79,5.07,0,0.08,4.77,-0.69,-0.35,2.91,0,0,0,112,17.5,0,815,2207,,120.79,,0.050865934,,151
162,155,124.04,5.27,-0.01,0.09,4.88,-0.72,-0.36,2.96,0,0,0,115.5,18,0,815,2214,,124.04,,0.052206593,,155
163,160,129.85,5.49,0,0.08,5.05,-0.78,-0.37,3.12,0,0,0,121,18,0,815,2226,,129.85,,0.054663736,,160
164,164,135.09,5.81,0.01,0.09,5.23,-0.82,-0.35,3.26,0,0,0,125.5,19,0,815,2236,,135.09,87.65,0.056826374,,164
165,154,135.09,5.6,0.02,0.08,5.32,-0.88,-0.33,3.28,0,0,0,125,20.5,0,815,2323,,47.44,135.09,0.056918681,,154
166,155,135.18,5.61,0.02,0.09,5.34,-0.9,-0.32,3.27,0,0,0,126,20,0,815,2339,,47.53,135.18,0.056953846,,155
167,161,137.59,5.72,0.03,0.1,5.38,-0.9,-0.32,3.32,0,0,0,128,20,0,815,2344,,49.94,137.59,0.057964835,,161
168,165,140.57,5.83,0.02,0.1,5.47,-0.91,-0.33,3.38,0,0,0,131,19.5,0,815,2351,,52.92,140.57,0.059226374,,165
169,170,144.01,5.95,0.02,0.1,5.59,-0.94,-0.33,3.48,0,0,0,133.5,20.5,0,815,2358,,56.36,144.01,0.060685714,,170
170,175,149.62,6.25,0.02,0.09,5.79,-0.98,-0.31,3.63,0,0,0,138.5,21,0,815,2410,,61.97,149.62,0.06301978,,175
171,181,153.16,6.46,-0.01,0.09,5.91,-1.02,-0.31,3.7,0,0,0,142,22,0,815,2417,,65.51,153.16,0.064483516,,181
172,181,157.51,6.67,-0.03,0.09,6.07,-1.07,-0.29,3.81,0,0,0,145.5,23.5,0,815,2425,,69.86,157.51,0.066303297,,181
173,185,161.65,6.66,-0.08,0.09,6.2,-1.11,-0.29,3.9,0,0,0,149,22.5,0,815,2434,,74,161.65,0.068127473,,185
174,190,169.29,7,-0.08,0.09,6.46,-1.21,-0.27,4.08,0,0,0,155.5,24,0,815,2450,,81.64,169.29,0.071336264,,190
175,193,176.35,7.5,-0.1,0.09,6.67,-1.32,-0.26,4.25,0,0,0,161.5,25,0,815,2504,,88.7,176.35,0.07421978,,193
176,194,178.77,7.61,-0.09,0.09,6.73,-1.35,-0.26,4.31,0,0,0,163.5,25.5,0,815,2509,,91.12,178.77,0.075235165,,194
