ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,変位計1,,γ1-2,,,筋かい有
91,48,15.4,2.11,-0.22,0.16,0.36,-0.3,-0.24,-0.41,2.3,3.18,3.86,16,2,83,812,5213,,,15.4,,0.005841758,,,48
92,90,16.66,2.21,-0.22,0.17,0.41,-0.31,-0.23,-0.43,2.18,2.94,5.06,17,2.5,138,812,5215,,,16.66,,0.006351648,,,90
93,113,17.52,2.21,-0.22,0.17,0.45,-0.3,-0.23,-0.46,2,2.68,5.86,17.5,2.5,185,812,5217,,,17.52,,0.00672967,,,113
94,152,18.31,2.21,-0.22,0.17,0.48,-0.3,-0.24,-0.51,1.82,2.4,6.22,18.5,2,260,812,5218,,,18.31,,0.007076923,,,152
95,194,19.07,2.21,-0.22,0.17,0.49,-0.29,-0.23,-0.56,1.6,2.2,6.52,19,2,325,812,5220,,,19.07,,0.007410989,,,194
96,238,19.94,2.32,-0.22,0.16,0.49,-0.3,-0.23,-0.62,1.42,2.02,6.78,19.5,2,398,812,5221,,,19.94,,0.007745055,,,238
97,278,20.71,2.32,-0.22,0.24,0.5,-0.32,-0.21,-0.69,1.26,1.9,6.96,20,2.5,455,812,5223,,,20.71,,0.008083516,,,278
98,316,21.68,2.32,-0.22,0.27,0.49,-0.34,-0.2,-0.76,1.1,1.86,7.16,20.5,3,518,812,5225,,,21.68,,0.00850989,,,316
99,353,22.65,2.32,-0.22,0.27,0.49,-0.37,-0.2,-0.84,0.98,1.82,7.3,21,2.5,580,812,5227,,,22.65,,0.008936264,,,353
100,386,23.52,2.32,-0.22,0.27,0.5,-0.38,-0.21,-0.9,0.84,1.8,7.4,22,3,630,812,5229,,,23.52,,0.009318681,,,386
101,417,24.38,2.35,-0.22,0.27,0.41,-0.4,-0.21,-0.97,0.74,1.78,7.52,22,2.5,683,812,5230,,,24.38,,0.009683516,,,417
102,456,25.44,2.42,-0.21,0.28,0.41,-0.42,-0.2,-1.05,0.6,1.72,7.64,23.5,3,745,812,5233,,,25.44,,0.010118681,,,456
103,484,26.22,2.42,-0.21,0.27,0.33,-0.42,-0.21,-1.13,0.52,1.7,7.72,23.5,3,793,812,5235,,,26.22,,0.010461538,,,484
104,512,26.98,2.43,-0.22,0.27,0.3,-0.42,-0.22,-1.18,0.46,1.66,7.8,23.5,3,838,812,5236,,,26.98,,0.010791209,,,512
105,542,27.76,2.42,-0.29,0.27,0.24,-0.43,-0.22,-1.25,0.38,1.64,7.88,24,4,880,812,5238,,,27.76,,0.011138462,,,542
106,570,28.62,2.42,-0.33,0.26,0.18,-0.44,-0.23,-1.31,0.3,1.58,7.94,24.5,4,923,812,5240,,,28.62,,0.011516484,,,570
107,600,29.53,2.42,-0.33,0.27,0.13,-0.45,-0.24,-1.38,0.26,1.6,8.04,24.5,4,960,812,5242,,,29.53,,0.011916484,,,600
