,â◊èd,ïœà 1,ïœà 2,ïœà 3,ïœà 4,ïœà 5,ïœà 6,ïœà 7,ïœà 8,9,10,11,ïœ12,ïœ13,14,ì˙Å@éû,ï™Å@ïb,,
132,84,52.58,1.38,-0.1,0.01,1.59,0.04,-0.57,0.7,0,0,0,-50.5,-6,0,2613,4523,0,1320
133,83,51.81,1.38,-0.1,0.01,1.55,0.05,-0.57,0.69,0,0,0,-50.5,-6,0,2613,4524,0,1330
134,80,51.13,1.39,-0.1,0.01,1.52,0.04,-0.57,0.68,0,0,0,-49.5,-5.5,0,2613,4525,0,1340
135,80,50.34,1.38,-0.1,0.02,1.5,0.04,-0.57,0.66,0,0,0,-48.5,-5.5,0,2613,4527,0,1350
136,76,49.56,1.28,-0.11,0.01,1.46,0.05,-0.57,0.64,0,0,0,-48,-5.5,0,2613,4528,0,1360
137,74,48.79,1.28,-0.11,0,1.43,0.03,-0.57,0.63,0,0,0,-47,-5.5,0,2613,4529,0,1370
138,73,48,1.28,-0.09,0.01,1.39,0.04,-0.57,0.62,0,0,0,-46.5,-6,0,2613,4530,0,1380
139,72,47.23,1.26,-0.1,0.01,1.38,0.04,-0.57,0.61,0,0,0,-45,-6,0,2613,4532,0,1390
140,69,46.44,1.27,-0.1,0,1.35,0.04,-0.57,0.58,0,0,0,-45,-6.5,0,2613,4533,0,1400
141,66,45.67,1.27,-0.11,0,1.31,0.04,-0.57,0.57,0,0,0,-44,-6,0,2613,4534,0,1410
142,66,44.9,1.27,-0.11,-0.01,1.29,0.04,-0.56,0.56,0,0,0,-43,-6,0,2613,4536,0,1420
143,64,44.11,1.26,-0.1,0,1.27,0.04,-0.56,0.55,0,0,0,-42.5,-5.5,0,2613,4537,0,1430
144,62,43.32,1.27,-0.1,0,1.24,0.04,-0.56,0.52,0,0,0,-42,-5,0,2613,4538,0,1440
145,60,42.56,1.27,-0.1,0.01,1.21,0.04,-0.56,0.53,0,0,0,-41.5,-5,0,2613,4540,0,1450
146,57,41.78,1.21,-0.1,0,1.2,0.05,-0.55,0.5,0,0,0,-40,-5,0,2613,4541,0,1460
147,56,41.01,1.17,-0.1,0,1.16,0.04,-0.53,0.49,0,0,0,-39.5,-5.5,0,2613,4542,0,1470
148,55,40.23,1.16,-0.11,0,1.14,0.03,-0.55,0.47,0,0,0,-39.5,-4.5,0,2613,4544,0,1480
149,52,39.45,1.17,-0.1,0,1.11,0.05,-0.55,0.45,0,0,0,-38,-5.5,0,2613,4545,0,1490
150,51,38.58,1.17,-0.1,0,1.08,0.04,-0.54,0.44,0,0,0,-37.5,-4.5,0,2613,4546,0,1500
151,49,37.84,1.15,-0.1,0,1.06,0.05,-0.54,0.43,0,0,0,-36.5,-5,0,2613,4548,0,1510
152,47,37.09,1.17,-0.11,0,1.03,0.02,-0.53,0.41,0,0,0,-36,-4.5,0,2613,4549,0,1520
153,45,36.28,1.16,-0.11,0,1.01,0.04,-0.53,0.39,0,0,0,-35,-5,0,2613,4550,0,1530
154,42,35.48,1.17,-0.11,0,0.99,0.03,-0.52,0.38,0,0,0,-34.5,-5,0,2613,4552,0,1540
155,42,34.7,1.12,-0.11,0,0.95,0.03,-0.53,0.35,0,0,0,-33.5,-4.5,0,2613,4553,0,1550
156,40,33.93,1.06,-0.11,0,0.93,0.03,-0.52,0.34,0,0,0,-32.5,-4.5,0,2613,4554,0,1560
157,38,33.16,1.06,-0.11,0,0.9,0.03,-0.51,0.33,0,0,0,-32,-4,0,2613,4556,0,1570
158,36,32.38,1.06,-0.11,0,0.89,0.03,-0.51,0.32,0,0,0,-31,-4,0,2613,4557,0,1580
159,34,31.61,1.07,-0.11,0,0.86,0.04,-0.5,0.3,0,0,0,-30.5,-4,0,2613,4558,0,1590
160,32,30.84,1.05,-0.1,0,0.83,0.03,-0.5,0.28,0,0,0,-29.5,-3.5,0,2613,4600,0,1600
161,31,30.07,1.05,-0.1,0,0.81,0.02,-0.5,0.27,0,0,0,-28.5,-3.5,0,2613,4601,0,1610
162,29,29.29,1.06,-0.1,0,0.78,0.02,-0.49,0.25,0,0,0,-27.5,-2.5,0,2613,4602,0,1620
163,27,28.45,0.96,-0.12,0,0.76,0.03,-0.49,0.24,0,0,0,-27.5,-2.5,0,2613,4603,0,1630
164,26,27.75,0.95,-0.11,0,0.74,0.02,-0.48,0.23,0,0,0,-27,-3,0,2613,4605,0,1640
165,23,26.97,0.95,-0.11,0,0.72,0.02,-0.46,0.21,0,0,0,-26,-2.5,0,2613,4606,0,1650
166,21,26.29,0.96,-0.11,0,0.69,0.02,-0.46,0.2,0,0,0,-25,-3,0,2613,4607,0,1660
167,20,25.45,0.95,-0.11,0,0.67,0.02,-0.47,0.18,0,0,0,-24.5,-3,0,2613,4608,0,1670
168,18,24.65,0.96,-0.11,0,0.64,0.01,-0.45,0.17,0,0,0,-23.5,-2.5,0,2613,4610,0,1680
169,17,23.98,0.92,-0.1,0,0.62,0.01,-0.44,0.16,0,0,0,-23,-3,0,2613,4611,0,1690
170,15,23.21,0.86,-0.11,0.01,0.6,0.01,-0.44,0.15,0,0,0,-23,-2.5,0,2613,4612,0,1700
171,13,22.52,0.86,-0.1,0,0.58,0.01,-0.43,0.13,0,0,0,-21,-2,0,2613,4613,0,1710
172,12,21.75,0.86,-0.1,-0.01,0.56,0.02,-0.42,0.11,0,0,0,-21,-2,0,2613,4615,0,1720
173,12,20.98,0.85,-0.11,0,0.54,0,-0.4,0.1,0,0,0,-20.5,-2,0,2613,4616,0,1730
174,10,20.11,0.87,-0.11,0,0.51,0.01,-0.39,0.09,0,0,0,-19.5,-2,0,2613,4617,0,1740
175,8,19.35,0.75,-0.11,0,0.48,0,-0.37,0.08,0,0,0,-18.5,-2,0,2613,4619,0,1750
176,6,18.57,0.75,-0.1,0.01,0.46,0.01,-0.37,0.06,0,0,0,-17.5,-2,0,2613,4620,0,1760
177,6,17.79,0.75,-0.1,0.01,0.44,0.01,-0.36,0.04,0,0,0,-17,-1.5,0,2613,4621,0,1770
178,3,16.84,0.75,-0.11,0,0.41,0,-0.34,0.03,0,0,0,-16,-2,0,2613,4623,0,1780
179,2,16.07,0.73,-0.11,0.01,0.39,0.01,-0.32,0.01,0,0,0,-16,-1.5,0,2613,4624,0,1790
