ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,
87,282,45.49,0.73,-0.01,0.01,1.19,-0.02,-0.26,0.63,2.5,2.14,9.82,4.4,0.55,638,2711,5052,,,,,,,,,,
88,302,47.32,0.74,-0.01,0.01,1.27,-0.02,-0.27,0.63,2.66,2.26,9.94,4.5,0.55,688,2711,5058,,,,,,,,,,
89,322,50.2,0.72,-0.01,0.02,1.36,-0.03,-0.29,0.68,2.98,2.54,10.16,4.8,0.6,740,2711,5108,,,,,,,,,,
90,338,54.37,0.84,0,0.02,1.51,-0.02,-0.34,0.71,3.36,2.88,10.58,5.25,0.7,783,2711,5122,,,,,,,,,,
91,319,59.03,0.95,0.06,0.01,1.66,-0.02,-0.38,0.83,3.48,3.04,12.2,5.75,0.75,683,2711,5138,,,,,,,,,,
92,308,61.65,1,0.08,0.01,1.74,-0.04,-0.4,0.87,3.46,3.04,13.24,5.85,0.8,635,2711,5146,,,,,,,,,,
93,297,63.56,1.04,0.09,0.01,1.8,-0.03,-0.41,0.92,3.44,3.02,14.04,6.15,0.85,590,2711,5153,,,,,,,,,,
94,286,64.91,1.05,0.09,0,1.84,-0.03,-0.43,0.96,3.42,3,14.58,6.2,0.8,558,2711,5157,,,,,,,,,,
95,283,65.49,1.05,0.1,0.01,1.87,-0.02,-0.43,0.97,3.4,3.02,14.8,6.3,0.85,550,2711,5159,,,,,,,,,,
96,292,66.58,1.09,0.11,0.01,1.88,-0.03,-0.45,0.97,3.4,3.02,14.94,6.35,0.85,593,2711,5202,,,,,,,,,,
97,305,67.24,1.13,0.11,0.01,1.9,-0.01,-0.45,0.99,3.44,3.04,14.98,6.45,0.9,618,2711,5205,,,,,,,,,,
98,291,67.24,1.14,0.1,0.03,1.9,-0.03,-0.51,0.99,3.44,3.04,15.1,6.45,0.85,588,2711,5408,,,,,,,,,,
99,308,67.92,1.15,0.1,0.01,1.91,-0.01,-0.5,0.99,3.46,3.08,15.14,6.5,0.9,655,2711,5411,,,,,,,,,,
100,324,68.6,1.15,0.11,0,1.91,-0.04,-0.52,0.99,3.5,3.1,15.18,6.6,0.9,698,2711,5413,,,,,,,,,,
101,341,69.57,1.15,0.11,0.01,1.94,-0.04,-0.52,0.99,3.58,3.22,15.22,6.65,0.9,745,2711,5417,,,,,,,,,,
102,360,71.03,1.15,0.11,0.01,1.98,-0.04,-0.54,0.99,3.7,3.3,15.32,6.8,0.9,798,2711,5422,,,,,,,,,,
103,380,73.27,1.26,0.1,0.01,2.05,-0.04,-0.57,0.99,3.9,3.58,15.44,7.05,0.95,850,2711,5430,,,,,,,,,,
104,395,76,1.27,0.1,0,2.1,-0.04,-0.62,0.98,4.1,3.92,15.6,7.3,1,895,2711,5439,,,,,,,,,,
105,402,76.97,1.26,0.1,0,2.12,-0.04,-0.65,0.98,4.14,4.02,15.6,7.4,1,908,2711,5442,,,,,,,,,,
106,366,77.35,1.36,0.12,0.01,2.13,-0.04,-0.74,0.98,4.2,4.18,15.62,7.4,1,800,2711,5638,,,,,,,,,,
107,333,76.48,1.36,0.11,0.01,1.97,-0.06,-0.75,0.99,4.18,4.18,15.62,7.3,1,705,2711,5642,,,,,,,,,,
108,297,75.21,1.37,0.1,0.02,1.93,-0.05,-0.75,0.99,4.08,4.1,15.62,7.15,1,603,2711,5646,,,,,,,,,,
109,249,73.17,1.35,0.12,0.01,1.87,-0.05,-0.75,0.99,3.94,4.02,15.52,7,0.95,468,2711,5652,,,,,,,,,,
110,196,70.54,1.35,0.11,0.02,1.75,-0.08,-0.74,1,3.76,3.9,15.22,6.75,0.95,318,2711,5659,,,,,,,,,,
111,148,67.44,1.37,0.1,0.02,1.64,-0.07,-0.72,1.02,3.62,3.8,14.78,6.4,0.85,195,2711,5708,,,,,,,,,,
112,112,63.29,1.36,0.11,-0.01,1.49,-0.06,-0.71,1.04,3.6,3.82,12.9,6,0.8,108,2711,5719,,,,,,,,,,
113,99,61.87,1.35,0.1,0.01,1.45,-0.06,-0.69,1.02,3.54,3.84,12.58,5.85,0.8,75,2711,5723,,,,,,,,,,
114,66,57.29,1.26,0.1,0.01,1.29,-0.06,-0.67,1.02,3.04,3.42,12.06,5.4,0.75,5,2711,5736,,,,,,,,,,
115,61,54.5,1.29,0.1,0.01,1.18,-0.06,-0.66,0.98,2.92,3.32,11.46,5.15,0.7,5,2711,5743,,,,,,,,,,
116,50,47.42,1.14,0.1,0.02,0.89,-0.06,-0.65,0.87,2.76,3.2,9.52,4.45,0.6,0,2711,5802,,,,,,,,,,
117,40,42.99,1.15,0.1,0.02,0.69,-0.06,-0.62,0.8,2.72,3.18,8.16,4.05,0.55,0,2711,5814,,,,,,,,,,
118,40,38.45,1.05,0.11,0.01,0.55,-0.06,-0.6,0.71,2.66,3.14,6.72,3.6,0.5,0,2711,5826,,,,,,,,,,
119,30,31.63,0.96,0.1,0.02,0.26,-0.06,-0.57,0.62,2.56,3.06,4.66,3,0.35,-8,2711,5843,,,,,,,,,,
120,11,27.3,0.94,0.11,0.02,0.15,-0.05,-0.54,0.61,2.16,2.74,4.5,2.6,0.3,-50,2711,5855,,,,,,,,,,
121,4,24.87,0.83,0.1,0,0.08,-0.06,-0.52,0.61,1.68,2.6,4.48,2.35,0.3,-68,2711,5902,,,,,,,,,,
122,-1,23.92,0.83,0.1,0.01,0.06,-0.06,-0.51,0.6,1.52,2.56,4.48,2.25,0.3,-68,2711,5905,,,,,,,,,,
123,4,23.83,0.83,0.1,-0.01,0.05,-0.06,-0.5,0.59,1.46,2.54,4.46,2.3,0.3,-45,2711,5939,,,,,,,,,,
124,41,28.16,0.85,0.1,0.01,0.14,-0.06,-0.49,0.54,1.6,2.5,5.12,2.7,0.35,5,2711,5952,,,,,,,,,,
125,50,32.5,0.93,0.11,0.01,0.37,-0.06,-0.49,0.58,1.7,2.5,6.52,3.15,0.4,5,2712,4,,,,,,,,,,
126,57,38.25,0.96,0.1,0.02,0.62,-0.07,-0.47,0.68,1.7,2.5,8.52,3.65,0.5,3,2712,19,,,,,,,,,,
127,72,44.64,1.06,0.11,0.02,0.88,-0.05,-0.47,0.8,1.74,2.54,10.66,4.3,0.55,15,2712,37,,,,,,,,,,
128,81,47.41,1.05,0.12,0.01,1,-0.06,-0.49,0.84,1.86,2.58,11.36,4.55,0.6,40,2712,45,,,,,,,,,,
129,101,51.36,1.16,0.1,0.01,1.13,-0.06,-0.52,0.89,2.22,2.62,12.36,4.9,0.7,83,2712,56,,,,,,,,,,
130,141,56.9,1.26,0.11,0.01,1.3,-0.06,-0.57,0.95,2.78,3.14,12.8,5.4,0.75,193,2712,112,,,,,,,,,,
131,150,57.96,1.27,0.1,0,1.32,-0.06,-0.58,0.95,2.9,3.24,12.8,5.55,0.75,218,2712,115,,,,,,,,,,
132,180,61.24,1.25,0.09,0,1.43,-0.06,-0.62,0.95,3.18,3.42,13.08,5.85,0.8,300,2712,125,,,,,,,,,,
133,203,63.45,1.26,0.11,0.01,1.5,-0.07,-0.65,0.99,3.32,3.5,13.46,6.1,0.85,360,2712,131,,,,,,,,,,
134,241,67.33,1.37,0.09,0,1.64,-0.08,-0.66,1,3.54,3.66,14.22,6.4,0.9,470,2712,144,,,,,,,,,,
135,251,68.11,1.36,0.11,0.01,1.66,-0.09,-0.67,1.01,3.62,3.68,14.36,6.55,0.9,498,2712,146,,,,,,,,,,
136,280,70.35,1.37,0.11,0.01,1.74,-0.1,-0.69,1,3.76,3.84,14.76,6.7,0.95,583,2712,154,,,,,,,,,,
137,301,71.9,1.37,0.11,0,1.79,-0.11,-0.71,1.01,3.88,3.9,14.9,6.95,0.95,638,2712,158,,,,,,,,,,
138,349,75.6,1.38,0.09,0.01,1.93,-0.12,-0.73,1,4.1,4.12,15.4,7.15,1,783,2712,211,,,,,,,,,,
139,382,77.97,1.5,0.1,-0.01,2.01,-0.12,-0.75,1,4.32,4.3,15.58,7.45,1.05,863,2712,219,,,,,,,,,,
140,402,80.01,1.48,0.18,0,2.08,-0.12,-0.77,1,4.48,4.46,15.76,7.65,1,918,2712,227,,,,,,,,,,
141,421,82.25,1.47,0.21,0.02,2.14,-0.13,-0.8,1.01,4.62,4.68,15.9,7.95,1.1,963,2712,234,,,,,,,,,,
142,440,85.66,1.56,0.2,0.01,2.22,-0.13,-0.85,1,5.02,5.08,16.08,8.2,1.1,1020,2712,247,,,,,,,,,,
143,454,87.8,1.55,0.21,0.03,2.29,-0.12,-0.87,1,5.16,5.28,16.18,8.4,1.1,1053,2712,255,,,,,,,,,,
144,460,89.36,1.56,0.21,0.02,2.33,-0.13,-0.9,1,5.34,5.48,16.24,8.55,1.15,1073,2712,301,,,,,,,,,,
145,470,91.05,1.57,0.2,0.02,2.39,-0.15,-0.95,1,5.56,5.66,16.56,8.75,1.15,1085,2712,306,,,,,,,,,,
146,473,92.62,1.66,0.2,-0.01,2.42,-0.15,-0.97,1.01,5.68,5.8,16.6,8.85,1.05,1108,2712,313,,,,,,,,,,
147,431,92.82,1.75,0.3,0.01,2.41,-0.15,-1.04,1.01,5.68,5.86,16.6,8.85,1.15,1010,2712,458,,,,,,,,,,
148,464,94.28,1.79,0.31,0.02,2.42,-0.16,-1.04,1.01,5.86,6,16.64,9.05,1.2,1098,2712,503,,,,,,,,,,
149,480,95.36,1.79,0.31,0.01,2.46,-0.16,-1.06,1,5.9,6.08,16.68,9.1,1.2,1133,2712,507,,,,,,,,,,
150,492,96.83,1.78,0.31,-0.02,2.52,-0.16,-1.07,1,6.04,6.22,16.74,9.3,1.2,1158,2712,513,,,,,,,,,,
151,503,98.51,1.8,0.3,0.01,2.56,-0.16,-1.09,1.01,6.22,6.48,16.82,9.45,1.2,1180,2712,519,,,,,,,,,,
152,476,99,1.9,0.31,0,2.56,-0.17,-1.11,1.01,6.28,6.6,16.8,9.4,1.3,1118,2712,546,,,,,,,,,,
153,491,99.78,1.9,0.31,0.02,2.56,-0.17,-1.12,1,6.36,6.68,16.82,9.55,1.25,1163,2712,549,,,,,,,,,,
154,501,100.57,1.92,0.31,-0.01,2.61,-0.18,-1.12,1,6.42,6.76,16.84,9.6,1.3,1195,2712,552,,,,,,,,,,
155,517,102.94,1.9,0.31,0.01,2.68,-0.19,-1.15,0.99,6.64,7.08,16.92,9.8,1.3,1238,2712,601,,,,,,,,,,
156,521,103.42,1.89,0.3,0.01,2.7,-0.18,-1.14,1,6.72,7.16,16.94,9.85,1.3,1235,2712,603,,,,,,,,,,
157,524,104.81,1.89,0.41,0.02,2.75,-0.18,-1.17,0.99,6.82,7.4,16.98,10.1,1.3,1248,2712,608,,,,,,,,,,
158,530,105.79,1.97,0.42,0.02,2.78,-0.19,-1.18,0.99,6.94,7.5,16.98,10.1,1.35,1258,2712,612,,,,,,,,,,
159,538,108.07,1.99,0.41,0.02,2.84,-0.19,-1.21,0.97,7.14,7.82,17.06,10.35,1.4,1280,2712,621,,,,,,,,,,
160,541,108.73,1.98,0.41,0.02,2.85,-0.21,-1.22,0.97,7.22,7.92,17.08,10.4,1.4,1288,2712,624,,,,,,,,,,
161,549,111.63,2.1,0.52,0.01,2.93,-0.22,-1.27,0.95,7.48,8.36,17.16,10.7,1.45,1313,2712,635,,,,,,,,,,
162,560,114.7,2.1,0.54,0.02,3.02,-0.23,-1.31,0.95,7.78,8.84,17.24,11,1.4,1345,2712,647,,,,,,,,,,
163,574,118.88,2.21,0.63,0.02,3.13,-0.24,-1.38,0.92,8.22,9.44,17.38,11.3,1.5,1378,2712,704,,,,,,,,,,
164,582,122.57,2.33,0.71,0,3.22,-0.24,-1.44,0.9,8.62,10,17.52,11.55,1.55,1405,2712,719,,,,,,,,,,
165,590,125.05,2.37,0.72,0.02,3.28,-0.25,-1.49,0.9,8.84,10.42,17.54,11.9,1.65,1423,2712,729,,,,,,,,,,
166,600,128.26,2.41,0.83,0.02,3.35,-0.42,-1.55,0.89,9.16,10.94,17.64,12.25,1.65,1445,2712,742,,,,,,,,,,
167,576,129.35,2.52,0.84,0,3.36,-0.43,-1.62,0.87,9.28,11.16,17.64,12.35,1.7,1390,2712,812,,,,,,,,,,
168,600,131.26,2.53,0.83,0,3.4,-0.43,-1.64,0.87,9.48,11.38,17.7,12.5,1.65,1453,2712,820,,,,,,,,,,
169,611,133.3,2.57,0.92,0.01,3.45,-0.43,-1.66,0.87,9.68,11.68,17.74,12.8,1.75,1478,2712,828,,,,,,,,,,
170,617,134.58,2.64,0.92,-0.01,3.51,-0.43,-1.7,0.87,9.88,11.96,17.78,12.85,1.7,1490,2712,836,,,,,,,,,,
