ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,γ,θ,γ0,γ1-2,,変位計1
124,497,39.01,0.89,0.75,-0.01,0.17,-0.12,-0.15,0.11,0.58,-1.22,7.76,38.5,3.5,1203,2710,5123,,0.017283951,-0.000506667,0.016777284,0.015719588,497,39.01
125,506,39.79,0.95,0.75,0,0.19,-0.11,-0.15,0.1,0.62,-1.2,7.78,39.5,4,1218,2710,5124,,0.017530864,-0.0005,0.017030864,0.016016495,506,39.79
126,508,40.56,0.97,0.74,-0.01,0.18,-0.11,-0.16,0.11,0.68,-1.18,7.86,41,4,1235,2710,5126,,0.018271605,-0.0005,0.017771605,0.016325773,508,40.56
127,519,41.31,0.96,0.75,-0.01,0.19,-0.12,-0.15,0.1,0.76,-1.14,7.88,40.5,4,1253,2710,5128,,0.018024691,-0.000506667,0.017518025,0.016639175,519,41.31
128,528,42.12,0.94,0.75,-0.01,0.19,-0.16,-0.15,0.1,0.82,-1.12,7.94,42,4.5,1268,2710,5129,,0.018518519,-0.000506667,0.018011852,0.016981443,528,42.12
129,532,42.78,0.97,0.74,-0.01,0.19,-0.16,-0.15,0.1,0.86,-1.08,7.98,42.5,4.5,1285,2710,5131,,0.018765432,-0.0005,0.018265432,0.017241237,532,42.78
130,540,43.58,0.97,0.85,-0.01,0.19,-0.16,-0.16,0.11,0.94,-1.04,8.02,44,4.5,1300,2710,5132,,0.019506173,-0.000573333,0.01893284,0.017571134,540,43.58
131,551,44.36,0.97,0.85,-0.01,0.19,-0.16,-0.18,0.1,1,-0.98,8.06,44,5.5,1313,2710,5134,,0.019012346,-0.000573333,0.018439012,0.017892784,551,44.36
132,560,45.14,1.07,0.85,-0.01,0.2,-0.16,-0.16,0.1,1.08,-0.98,8.1,45.5,4.5,1330,2710,5135,,0.020246914,-0.000573333,0.01967358,0.018173196,560,45.14
133,565,45.91,1.07,0.85,-0.01,0.21,-0.16,-0.16,0.1,1.16,-0.9,8.1,46.5,5,1348,2710,5137,,0.020493827,-0.000573333,0.019920494,0.018490722,565,45.91
134,577,46.65,1.07,0.85,-0.01,0.21,-0.17,-0.17,0.1,1.22,-0.86,8.16,46,4.5,1363,2710,5138,,0.020493827,-0.000573333,0.019920494,0.018795876,577,46.65
135,586,47.36,1.07,0.91,-0.01,0.23,-0.16,-0.16,0.11,1.32,-0.82,8.22,47.5,5,1378,2710,5140,,0.020987654,-0.000613333,0.020374321,0.01908866,586,47.36
136,598,48.12,1.06,0.96,0,0.25,-0.16,-0.17,0.1,1.38,-0.78,8.24,48,3.5,1390,2710,5141,,0.021975309,-0.00064,0.021335309,0.019406186,598,48.12
137,602,48.92,1.06,0.96,0,0.26,-0.17,-0.17,0.1,1.48,-0.72,8.28,49,4,1408,2710,5143,,0.022222222,-0.00064,0.021582222,0.019736082,602,48.92
138,613,49.7,1.08,0.95,0,0.27,-0.17,-0.18,0.1,1.54,-0.66,8.3,50,3.5,1420,2710,5144,,0.022962963,-0.000633333,0.02232963,0.020049485,613,49.7
139,622,50.47,1.1,0.96,0,0.28,-0.17,-0.17,0.1,1.62,-0.62,8.34,50,3.5,1435,2710,5146,,0.022962963,-0.00064,0.022322963,0.020358763,622,50.47
140,628,51.26,1.17,1,0,0.28,-0.18,-0.18,0.1,1.7,-0.56,8.38,52.5,4.5,1448,2710,5147,,0.023703704,-0.000666667,0.023037037,0.02065567,628,51.26
141,633,51.93,1.16,1.07,0,0.3,-0.17,-0.17,0.1,1.78,-0.52,8.4,52,4.5,1463,2710,5149,,0.02345679,-0.000713333,0.022743457,0.020936082,633,51.93
