ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,
101,115,22.53,0.61,-0.2,-0.04,0.98,0.26,0.06,0.15,-1.84,2.16,0,22.5,2.5,0,710,2950,,,,,,
102,97,21.67,0.62,-0.22,-0.02,0.96,0.25,0.06,0.15,-1.9,2.14,0,21.5,2,0,710,2952,,,,,,
103,77,20.59,0.62,-0.21,-0.03,0.92,0.24,0.07,0.16,-2,2.08,0,20.5,3.5,0,710,2955,,,,,,
104,58,19.31,0.62,-0.21,-0.03,0.87,0.23,0.05,0.16,-2.08,2,0,19,1.5,0,710,2959,,,,,,
105,49,18.55,0.62,-0.22,-0.02,0.83,0.22,0.05,0.16,-2.16,1.98,0,18.5,3.5,0,710,3001,,,,,,
106,39,17.69,0.63,-0.22,-0.02,0.8,0.23,0.06,0.18,-2.18,1.94,0,17.5,3,0,710,3003,,,,,,
107,29,16.37,0.53,-0.23,-0.01,0.74,0.2,0.05,0.18,-2.3,1.88,0,16,1.5,0,710,3007,,,,,,
108,21,14.65,0.53,-0.14,-0.01,0.67,0.19,0.05,0.2,-2.5,1.78,0,15.5,1.5,0,710,3011,,,,,,
109,11,12.47,0.41,-0.11,-0.03,0.57,0.17,0.05,0.2,-2.78,1.66,0,13,1.5,0,710,3017,,,,,,
110,6,11.42,0.41,-0.11,-0.03,0.53,0.16,0.05,0.19,-2.96,1.6,0,12,1.5,0,710,3022,,,,,,
111,0,9.92,0.31,-0.12,-0.06,0.43,0.13,0.05,0.2,-3.26,1.5,0,11.5,3,0,710,3026,,,,,,
112,0,8.97,0.3,-0.11,-0.06,0.39,0.13,0.05,0.19,-3.38,1.44,0,10.5,3,0,710,3031,,,,,,
113,-4,8.1,0.31,-0.11,-0.04,0.37,0.13,0.04,0.19,-3.42,1.44,0,8.5,0.5,0,710,3036,,,,,,
114,-5,6.68,0.2,-0.13,-0.03,0.3,0.11,0.05,0.2,-3.56,1.32,0,8.5,0,0,710,3041,,,,,,
115,-11,5.17,0.2,0,-0.04,0.23,0.1,0.04,0.2,-3.66,1.08,0,7,0.5,0,710,3045,,,,,,
116,-11,3.46,0.1,-0.01,-0.03,0.16,0.07,0.03,0.17,-3.72,0.68,0,5,0.5,0,710,3050,,,,,,
117,-13,1.76,-0.01,-0.01,-0.05,0.1,0.05,0.03,0.13,-3.74,0.24,0,3.5,1.5,0,710,3055,,,,,,
118,-20,0.24,-0.11,-0.01,-0.05,0.05,0.03,0.02,0.1,-3.84,0.06,0,2,1.5,0,710,3059,,,,,,
119,-23,-1.47,-0.21,0.1,-0.02,0.01,0.01,0.02,0.1,-3.96,0,0,0,-0.5,0,710,3104,,,,,,
120,-30,-2.98,-0.21,0.18,-0.01,-0.03,-0.01,0.01,0.09,-4.2,-0.06,0,-1.5,-1,0,710,3109,,,,,,
121,-36,-4.32,-0.31,0.39,0,-0.05,-0.02,0,0.09,-4.3,-0.04,0,-2.5,-1,0,710,3114,,,,,,
122,-44,-5.73,-0.43,0.6,-0.02,-0.09,-0.02,0,0.12,-4.46,-0.04,0,-4,-0.5,0,710,3118,,,,,,
123,-52,-7.25,-0.54,0.92,-0.03,-0.11,-0.03,0.01,0.14,-4.66,-0.08,0,-5.5,0,0,710,3123,,,,,,
124,-61,-8.77,-0.74,1.12,-0.02,-0.14,-0.04,0.01,0.19,-4.74,-0.08,0,-6.5,-1,0,710,3128,,,,,,
125,-70,-10.38,-0.85,1.46,-0.02,-0.16,-0.06,0,0.24,-4.84,-0.06,0,-7.5,-1,0,710,3132,,,,,,
126,-83,-11.89,-0.95,1.76,-0.02,-0.18,-0.07,0,0.27,-4.92,-0.04,0,-9,-1.5,0,710,3137,,,,,,
127,-101,-13.49,-1.16,1.96,-0.02,-0.23,-0.11,0.01,0.29,-4.94,-0.02,0,-11,-1.5,0,710,3142,,,,,,
128,-121,-15.02,-1.29,2.17,-0.01,-0.3,-0.16,-0.02,0.31,-4.96,0.1,0,-12.5,-2,0,710,3147,,,,,,
129,-139,-16.56,-1.48,2.27,-0.01,-0.36,-0.2,-0.07,0.32,-4.88,0.3,0,-13.5,-2.5,0,710,3152,,,,,,
130,-154,-18.07,-1.58,2.37,-0.02,-0.43,-0.24,-0.1,0.33,-4.76,0.54,0,-15,-2.5,0,710,3156,,,,,,
131,-167,-19.58,-1.73,2.35,0,-0.46,-0.25,-0.14,0.34,-4.54,0.88,0,-16.5,-3,0,710,3201,,,,,,
