ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,
220,231,101.1,0.72,0.06,-0.06,0.54,0.13,0.24,0.09,0.27,0.36,-1.56,100,12,200,516,609,,,,,,
221,232,102,0.72,0.06,-0.07,0.54,0.13,0.24,0.09,0.27,0.36,-1.53,100.5,12,203,516,623,,,,,,
222,235,103,0.71,0.06,-0.06,0.55,0.13,0.24,0.09,0.27,0.36,-1.49,101,12.5,200,516,636,,,,,,
223,235,104.1,0.71,0.06,-0.06,0.55,0.13,0.24,0.09,0.27,0.36,-1.45,102,12.5,200,516,651,,,,,,
224,238,105.1,0.72,0.06,-0.07,0.55,0.13,0.24,0.1,0.27,0.36,-1.42,103.5,13,198,516,704,,,,,,
225,238,106.1,0.73,0.06,-0.07,0.56,0.13,0.24,0.1,0.27,0.36,-1.38,104,13,193,516,717,,,,,,
226,240,107.1,0.73,0.05,-0.07,0.56,0.13,0.24,0.1,0.27,0.36,-1.34,104.5,13.5,195,516,732,,,,,,
227,241,108,0.73,0.06,-0.07,0.57,0.13,0.24,0.1,0.26,0.36,-1.31,105.5,13,193,516,745,,,,,,
228,242,109,0.72,0.06,-0.06,0.57,0.13,0.24,0.1,0.26,0.36,-1.28,108,13,193,516,759,,,,,,
229,239,110.1,0.73,0.06,-0.06,0.57,0.13,0.24,0.1,0.26,0.36,-1.24,109,13.5,188,516,813,,,,,,
230,242,111.1,0.74,0.07,-0.06,0.57,0.13,0.24,0.1,0.26,0.36,-1.21,110,13.5,190,516,827,,,,,,
231,245,112.1,0.74,0.06,-0.06,0.58,0.13,0.24,0.1,0.26,0.36,-1.17,110.5,13.5,188,516,841,,,,,,
232,247,113,0.74,0.06,-0.07,0.58,0.13,0.24,0.11,0.26,0.36,-1.14,111.5,13.5,188,516,854,,,,,,
233,246,114,0.74,0.06,-0.07,0.59,0.13,0.24,0.11,0.26,0.36,-1.1,112,13.5,188,516,909,,,,,,
234,246,115.1,0.75,0.06,-0.07,0.59,0.13,0.24,0.11,0.26,0.36,-1.06,113.5,14,188,516,924,,,,,,
235,246,116.1,0.75,0.06,-0.07,0.6,0.13,0.24,0.11,0.26,0.36,-1.03,114,14,185,516,937,,,,,,
236,250,117.1,0.75,0.06,-0.07,0.6,0.13,0.24,0.12,0.26,0.36,-0.99,115,14.5,185,516,952,,,,,,
237,250,118.1,0.75,0.06,-0.07,0.6,0.13,0.24,0.12,0.26,0.36,-0.96,116.5,14.5,185,516,1005,,,,,,
238,251,119.1,0.76,0.06,-0.07,0.6,0.13,0.24,0.12,0.26,0.36,-0.91,117,15,183,516,1020,,,,,,
239,253,120.1,0.76,0.06,-0.07,0.61,0.13,0.24,0.12,0.26,0.36,-0.88,118.5,15,183,516,1034,,,,,,
240,254,121,0.76,0.06,-0.06,0.61,0.13,0.24,0.12,0.26,0.36,-0.85,120,14,183,516,1047,,,,,,
241,255,122.1,0.76,0.06,-0.06,0.61,0.13,0.24,0.12,0.25,0.36,-0.81,119.5,15,183,516,1102,,,,,,
