ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,γ1-2,3BS1C1,,変位計1
206,451,49.46,1.62,-0.84,0.01,0.47,-0.65,-0.27,-0.09,0.02,0.32,8.68,49,7.5,1065,2610,5022,,0.020493827,0.019727835,458,,49.46
207,458,50.34,1.58,-0.93,0.01,0.47,-0.67,-0.27,-0.08,0.1,0.4,8.72,50.5,8,1078,2610,5023,,0.020987654,0.020107216,465,,50.34
208,460,51.22,1.65,-0.94,0.01,0.48,-0.69,-0.28,-0.1,0.1,0.46,8.74,52.5,8.5,1090,2610,5025,,0.021728395,0.020441237,467,,51.22
209,468,52.1,1.69,-0.95,0.01,0.47,-0.71,-0.29,-0.11,0.14,0.54,8.78,52,7.5,1103,2610,5027,,0.021975309,0.020787629,475,,52.1
210,474,52.99,1.69,-1.04,0.03,0.5,-0.73,-0.29,-0.11,0.22,0.62,8.86,54,7.5,1115,2610,5028,,0.022962963,0.021154639,481,,52.99
211,476,53.85,1.69,-1.05,0.02,0.51,-0.75,-0.31,-0.11,0.24,0.7,8.88,55,7,1125,2610,5030,,0.023703704,0.021509278,483,,53.85
212,482,54.64,1.79,-1.05,0.02,0.52,-0.77,-0.32,-0.11,0.28,0.74,8.92,55,7.5,1133,2610,5031,,0.02345679,0.021793814,489,,54.64
213,489,55.41,1.79,-1.16,0.01,0.53,-0.78,-0.32,-0.12,0.32,0.84,8.96,56.5,7,1148,2610,5033,,0.024444444,0.02211134,496,,55.41
214,494,56.28,1.8,-1.15,0.02,0.54,-0.8,-0.33,-0.12,0.38,0.92,8.98,57,6.5,1155,2610,5034,,0.024938272,0.022465979,501,,56.28
215,499,56.97,1.79,-1.15,0.01,0.56,-0.81,-0.34,-0.13,0.42,1.02,9.04,58.5,6.5,1165,2610,5036,,0.025679012,0.022754639,506,,56.97
216,503,57.81,1.89,-1.16,0.01,0.57,-0.84,-0.34,-0.13,0.48,1.12,9.08,58.5,8,1173,2610,5037,,0.024938272,0.023059794,510,,57.81
217,509,58.54,1.9,-1.25,0.01,0.59,-0.82,-0.34,-0.14,0.5,1.18,9.1,58.5,7,1183,2610,5039,,0.025432099,0.023356701,516,,58.54
218,510,59.33,1.89,-1.26,0.01,0.6,-0.84,-0.34,-0.14,0.54,1.28,9.16,59.5,7,1195,2610,5040,,0.025925926,0.023686598,517,,59.33
