ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,
81,248,67.71,1.78,1.85,0.02,2.02,0.63,-0.24,-0.42,4.68,7.94,4.72,6.6,0.85,538,2717,1034,,,,
82,203,64.91,1.79,1.84,0.02,1.91,0.62,-0.23,-0.39,4.48,7.7,4.74,6.25,0.75,415,2717,1043,,,,
83,150,60.8,1.69,1.84,0.02,1.75,0.61,-0.22,-0.34,4.18,7.36,4.78,5.9,0.7,273,2717,1055,,,,
84,99,55.99,1.69,1.75,0.02,1.58,0.58,-0.2,-0.26,3.76,7,4.9,5.35,0.6,145,2717,1109,,,,
85,79,53.26,1.69,1.75,0.02,1.48,0.56,-0.19,-0.21,3.54,6.8,5.08,5.15,0.6,88,2717,1117,,,,
86,61,50.4,1.58,1.63,0.01,1.39,0.55,-0.18,-0.14,3.28,6.62,5.14,4.85,0.55,45,2717,1125,,,,
87,51,47.41,1.58,1.64,0.02,1.25,0.53,-0.18,-0.12,3.1,6.56,4.64,4.55,0.5,33,2717,1133,,,,
88,35,42.2,1.47,1.54,0.02,1.05,0.51,-0.17,-0.08,2.84,6.56,3.46,4.05,0.45,13,2717,1148,,,,
89,19,37.95,1.37,1.45,0.01,0.89,0.48,-0.16,-0.01,2.56,6.22,3.2,3.7,0.4,-20,2717,1200,,,,
90,11,35.23,1.39,1.44,0.01,0.78,0.46,-0.15,0,2.42,5.88,3,3.45,0.35,-40,2717,1207,,,,
91,1,33.4,1.3,1.42,0.01,0.69,0.45,-0.15,0,2.26,5.72,2.92,3.2,0.3,-55,2717,1213,,,,
92,7,32.81,1.26,1.34,0.02,0.67,0.45,-0.15,0.02,2.18,5.66,2.86,3.25,0.35,-38,2717,1331,,,,
93,51,36.5,1.37,1.32,0.01,0.81,0.45,-0.14,0.04,2.24,6.04,3.06,3.65,0.4,28,2717,1344,,,,
94,59,38.83,1.37,1.33,0,0.91,0.45,-0.14,0.05,2.3,6.06,3.64,3.8,0.4,38,2717,1351,,,,
