ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,268,110.97,2.4,-0.11,-0.01,2.92,0.51,-0.52,1.67,2.12,30.44,5.9,10.85,1.65,215,2514,1053
168,266,112.49,2.41,-0.12,-0.02,2.96,0.52,-0.54,1.7,2.06,30.98,5.6,10.95,1.7,205,2514,1058
169,267,114.16,2.52,-0.1,0.01,3,0.53,-0.55,1.73,2.08,31.54,5.98,11.05,1.7,195,2514,1104
170,267,115.62,2.51,-0.12,-0.01,3.03,0.54,-0.56,1.76,2.06,32.06,5.9,11.25,1.75,185,2514,1109
171,266,117.24,2.51,-0.12,0,3.11,0.56,-0.57,1.79,2.06,32.58,6,11.4,1.75,178,2514,1114
172,267,118.56,2.61,-0.12,-0.01,3.13,0.58,-0.59,1.82,2.04,33.08,5.9,11.5,1.75,178,2514,1118
173,266,119.99,2.6,-0.12,-0.02,3.17,0.58,-0.59,1.85,2,33.58,5.72,11.75,1.75,170,2514,1123
174,267,121.51,2.6,-0.12,-0.03,3.21,0.59,-0.61,1.87,1.98,34.14,5.72,11.85,1.85,160,2514,1128
175,234,123.19,2.71,-0.12,0,3.26,0.64,-0.68,2,1.82,35.24,5.88,11.95,1.9,55,2514,1134
176,236,124.74,2.82,-0.09,0,3.29,0.65,-0.69,2.01,1.82,35.74,5.94,12.15,1.9,55,2514,1139
177,234,126.26,2.83,-0.09,0.01,3.34,0.65,-0.71,2.03,1.8,36.38,5.92,12.3,1.95,50,2514,1144
178,236,127.88,2.83,-0.12,0.01,3.38,0.67,-0.7,2.07,1.78,37,5.98,12.45,1.8,53,2514,1150
179,238,129.4,2.92,-0.12,0,3.42,0.67,-0.71,2.1,1.76,37.7,5.96,12.55,1.95,45,2514,1155
180,237,130.84,2.91,-0.12,-0.02,3.46,0.69,-0.73,2.14,1.74,38.38,5.7,12.75,2,40,2514,1200
181,240,132.55,2.93,-0.09,0.04,3.52,0.69,-0.73,2.18,1.74,39,6.06,12.95,1.9,38,2514,1205
182,241,133.98,3.04,-0.13,0.01,3.56,0.7,-0.74,2.2,1.72,39.48,5.9,13,1.9,40,2514,1210
183,243,135.48,3.04,-0.13,0,3.61,0.69,-0.76,2.23,1.7,39.86,6,13.15,1.95,38,2514,1215
184,245,137.02,3.03,-0.09,0.01,3.66,0.72,-0.76,2.26,1.7,40.12,6.04,13.35,2.05,35,2514,1220
185,248,138.84,3.14,-0.11,0,3.71,0.73,-0.76,2.3,1.7,40.46,5.96,13.45,1.95,35,2514,1226
186,248,140.37,3.14,-0.09,0.02,3.76,0.74,-0.77,2.33,1.66,40.88,5.94,13.65,2.05,33,2514,1232
187,250,141.8,3.14,-0.1,0.01,3.8,0.74,-0.78,2.35,1.66,40.88,5.96,13.85,2,33,2514,1236
188,252,143.23,3.14,-0.1,0.01,3.84,0.75,-0.79,2.38,1.64,40.88,5.88,13.95,2.1,30,2514,1241
189,253,144.67,3.25,-0.1,0.01,3.89,0.75,-0.8,2.41,1.64,40.88,5.98,14.1,2.2,28,2514,1246
190,255,146.11,3.24,-0.11,0,3.91,0.76,-0.8,2.44,1.62,40.9,5.78,14.3,2.15,33,2514,1251
191,259,147.64,3.23,-0.14,-0.01,3.96,0.76,-0.81,2.46,1.58,40.9,5.62,14.35,2.1,33,2514,1256
192,260,148.97,3.27,-0.14,-0.02,3.99,0.76,-0.82,2.48,1.58,40.92,5.56,14.55,2.35,28,2514,1301
193,264,150.51,3.35,-0.12,0,4.05,0.79,-0.82,2.51,1.58,40.9,5.52,14.65,2.25,35,2514,1306
194,264,151.86,3.34,-0.14,-0.02,4.08,0.79,-0.83,2.54,1.58,40.9,5.5,14.85,2.4,28,2514,1311
195,267,153.21,3.35,-0.12,-0.01,4.11,0.8,-0.85,2.57,1.54,40.9,5.46,14.95,2.4,28,2514,1316
196,268,154.64,3.42,-0.09,0.03,4.18,0.81,-0.84,2.61,1.56,40.9,5.96,15.05,2.2,28,2514,1320
197,270,156.18,3.45,-0.09,0,4.21,0.81,-0.85,2.64,1.56,40.88,6.04,15.25,2.3,28,2514,1326
198,272,157.62,3.44,-0.1,0,4.25,0.83,-0.86,2.67,1.54,40.88,5.8,15.35,2.35,28,2514,1331
199,276,159.07,3.45,-0.1,0,4.28,0.83,-0.87,2.7,1.52,40.88,5.78,15.55,2.35,25,2514,1336
200,274,160.49,3.56,-0.09,0.02,4.34,0.85,-0.87,2.73,1.52,40.88,6.16,15.6,2.25,20,2514,1341
201,275,161.88,3.56,-0.11,0.04,4.37,0.86,-0.88,2.74,1.5,40.9,6.14,15.8,2.35,20,2514,1346
202,279,163.31,3.55,-0.11,0.01,4.42,0.85,-0.88,2.78,1.5,40.88,6.16,16,2.4,18,2514,1351
203,279,164.76,3.57,-0.13,0.05,4.47,0.87,-0.89,2.82,1.5,40.9,6.34,15.95,2.3,18,2514,1356
204,280,166.21,3.68,-0.13,0.02,4.48,0.87,-0.89,2.85,1.48,40.88,6.26,16.15,2.35,15,2514,1401
205,283,167.65,3.66,-0.16,0.03,4.55,0.89,-0.9,2.87,1.46,40.88,6.18,16.3,2.4,15,2514,1406
206,285,169.1,3.66,-0.17,0.01,4.59,0.89,-0.91,2.9,1.44,40.9,6.2,16.5,2.45,18,2514,1411
207,287,170.56,3.72,-0.21,0.01,4.63,0.9,-0.92,2.92,1.44,40.92,5.96,16.65,2.5,18,2514,1416
208,289,171.91,3.76,-0.22,0.01,4.67,0.9,-0.93,2.95,1.4,40.92,5.92,16.8,2.55,18,2514,1420
209,289,173.28,3.76,-0.2,0.01,4.71,0.91,-0.93,2.98,1.4,40.9,6.04,16.85,2.55,13,2514,1425
