ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,γ1-2,PS1C1,,,AS1C1,,変位計1
290,-1.4,1.25,0.11,0,-0.05,0.09,-0.04,-0.02,-0.03,0,0,0,1.5,-0.5,0,1816,5759,,0.000987654,0.000470103,-1.4,,0.019506173,81,,1.25
291,-0.6,1.25,0.12,0,-0.04,0.09,-0.04,-0.02,-0.03,0,0,0,2,-0.5,0,1816,5820,,0.001234568,0.000465979,-0.6,,0.020740741,101,,1.25
292,3,1.54,0.12,0.01,-0.05,0.09,-0.03,-0.03,-0.02,0,0,0,2,0,0,1816,5822,,0.000987654,0.000585567,3,,0.022962963,141,,1.54
293,6.6,2.39,0.14,0.01,-0.05,0.09,-0.03,-0.04,-0.02,0,0,0,3,0.5,0,1816,5823,,0.001234568,0.000927835,6.6,,0.023703704,150,,2.39
294,10.8,3.27,0.22,0.01,-0.02,0.09,-0.03,-0.06,-0.02,0,0,0,3.5,0.5,0,1816,5825,,0.001481481,0.001257732,10.8,,0.024938272,180,,3.27
295,14,4.13,0.22,0.01,-0.03,0.1,-0.03,-0.07,0,0,0,0,4,0,0,1816,5826,,0.001975309,0.001612371,14,,0.025925926,203,,4.13
296,16,4.89,0.22,0,-0.04,0.09,-0.03,-0.08,-0.02,0,0,0,5.5,0.5,0,1816,5827,,0.002469136,0.001925773,16,,0.027160494,241,,4.89
297,18.6,5.71,0.19,-0.01,-0.04,0.09,-0.05,-0.09,-0.02,0,0,0,6,0.5,0,1816,5829,,0.002716049,0.002276289,18.6,,0.027901235,251,,5.71
298,20.4,6.57,0.32,0.01,-0.05,0.09,-0.03,-0.1,-0.02,0,0,0,7,1,0,1816,5830,,0.002962963,0.00257732,20.4,,0.028395062,280,,6.57
299,23,7.39,0.32,-0.01,-0.05,0.09,-0.03,-0.11,-0.02,0,0,0,7.5,0.5,0,1816,5831,,0.00345679,0.002915464,23,,0.02962963,301,,7.39
300,26.2,8.26,0.32,0,-0.05,0.1,-0.03,-0.1,0,0,0,0,8.5,1,0,1816,5833,,0.003703704,0.003274227,26.2,,0.03037037,349,,8.26
301,28.4,9.14,0.33,0,-0.04,0.11,-0.03,-0.11,0.01,0,0,0,9.5,1,0,1816,5834,,0.004197531,0.00363299,28.4,,0.031604938,382,,9.14
302,30.8,10.02,0.34,-0.01,-0.05,0.14,-0.03,-0.11,0.01,0,0,0,10,1,0,1816,5836,,0.004444444,0.003991753,30.8,,0.032839506,402,,10.02
303,32.6,10.87,0.43,0,-0.05,0.17,-0.04,-0.12,0.01,0,0,0,10.5,1,0,1816,5837,,0.004691358,0.004305155,32.6,,0.03382716,421,,10.87
304,33.6,11.72,0.42,0,-0.03,0.2,-0.03,-0.12,0.02,0,0,0,12,1,0,1816,5838,,0.005432099,0.004659794,33.6,,0.035061728,440,,11.72
