ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,,,,,,,,,,,,,,,
86,290,178.5,4.12,-0.4,0.07,4.19,0.28,-1.06,2.72,5.36,45.68,7.28,169,24,40,1917,4119,,,,,,,,,,,,,,,,,,,,
87,291,183.54,4.24,-0.41,0.09,4.36,0.32,-1.09,2.81,5.36,47.64,7.3,173.5,24.5,38,1917,4133,,,,,,,,,,,,,,,,,,,,
88,296,188.58,4.34,-0.41,0.11,4.54,0.38,-1.12,2.91,5.3,49.54,7.26,179,25,33,1917,4147,,,,,,,,,,,,,,,,,,,,
89,301,193.59,4.44,-0.43,0.09,4.7,0.41,-1.16,2.99,5.26,51.6,7.22,183.5,25.5,28,1917,4200,,,,,,,,,,,,,,,,,,,,
90,306,198.51,4.56,-0.42,0.09,4.88,0.44,-1.19,3.06,5.24,53.76,7.2,188,26.5,28,1917,4214,,,,,,,,,,,,,,,,,,,,
91,312,203.51,4.66,-0.41,0.08,5.03,0.47,-1.24,3.17,5.2,55.68,7.18,193,27,28,1917,4227,,,,,,,,,,,,,,,,,,,,
92,317,208.5,4.65,-0.4,0.08,5.25,0.56,-1.25,3.25,5.14,57.62,7.18,197.5,28,28,1917,4241,,,,,,,,,,,,,,,,,,,,
93,323,213.59,4.78,-0.4,0.08,5.44,0.56,-1.24,3.33,5.14,59.9,7.04,203,28.5,23,1917,4255,,,,,,,,,,,,,,,,,,,,
94,331,218.69,4.88,-0.41,0.09,5.67,0.6,-1.25,3.44,5.12,62.1,6.84,207.5,29.5,18,1917,4309,,,,,,,,,,,,,,,,,,,,
95,334,223.59,4.98,-0.41,0.08,5.85,0.66,-1.26,3.5,5.04,63.96,6.82,211.5,30,18,1917,4323,,,,,,,,,,,,,,,,,,,,
96,340,228.59,5.11,-0.4,0.08,6.06,0.69,-1.25,3.6,5.04,65.66,6.82,217.5,30,18,1917,4336,,,,,,,,,,,,,,,,,,,,
97,344,233.5,5.21,-0.46,0.07,6.23,0.71,-1.27,3.68,5,67.42,6.82,220.5,31,15,1917,4350,,,,,,,,,,,,,,,,,,,,
98,350,238.52,5.32,-0.51,0.08,6.43,0.74,-1.29,3.77,4.9,69.2,6.8,225.5,31.5,15,1917,4404,,,,,,,,,,,,,,,,,,,,
99,357,244.21,5.51,-0.51,0.08,6.62,0.8,-1.31,3.88,4.86,71.2,6.78,231.5,33,15,1917,4419,,,,,,,,,,,,,,,,,,,,
100,363,248.58,5.62,-0.49,0.08,6.76,0.82,-1.33,3.93,4.84,72.7,6.78,235,33,18,1917,4431,,,,,,,,,,,,,,,,,,,,
101,353,253.6,5.83,-0.52,0.08,6.89,0.84,-1.44,4.02,4.68,74.44,6.78,239,33.5,13,1917,4912,,,,,,,,,,,,,,,,,,,,
102,364,258.65,5.83,-0.5,0.07,7.11,0.84,-1.44,4.15,4.64,76.22,6.74,244,35,18,1917,4926,,,,,,,,,,,,,,,,,,,,
103,373,263.52,5.91,-0.53,0.1,7.28,0.88,-1.46,4.24,4.62,77.96,6.72,247.5,35.5,18,1917,4940,,,,,,,,,,,,,,,,,,,,
104,378,267.7,6.03,-0.53,0.09,7.44,0.91,-1.47,4.29,4.6,79.46,6.66,252,36.5,18,1917,4952,,,,,,,,,,,,,,,,,,,,
105,387,273.56,6.17,-0.6,0.08,7.65,0.95,-1.47,4.37,4.58,81.58,6.64,257,36.5,18,1917,5008,,,,,,,,,,,,,,,,,,,,
106,394,278.52,6.26,-0.61,0.07,7.84,0.98,-1.48,4.51,4.58,83.26,6.62,262,36.5,20,1917,5022,,,,,,,,,,,,,,,,,,,,
107,397,283.54,6.36,-0.6,0.09,8,1.03,-1.5,4.6,4.56,84.94,6.6,266.5,37.5,18,1917,5037,,,,,,,,,,,,,,,,,,,,
108,402,288.64,6.44,-0.62,0.07,8.16,1.05,-1.52,4.65,4.42,86.64,6.54,272,38.5,20,1917,5051,,,,,,,,,,,,,,,,,,,,
109,394,289.63,6.57,-0.61,0.09,8.22,1.07,-1.53,4.66,4.38,86.94,6.56,271,38,18,1917,5111,,,,,,,,,,,,,,,,,,,,
110,405,293.57,6.67,-0.61,0.08,8.35,1.06,-1.56,4.79,4.38,88.34,6.54,275.5,39.5,18,1917,5126,,,,,,,,,,,,,,,,,,,,
111,411,298.6,6.77,-0.62,0.09,8.53,1.07,-1.57,4.88,4.34,90.06,6.5,280.5,40,15,1917,5140,,,,,,,,,,,,,,,,,,,,
112,403,299.2,6.77,-0.62,0.09,8.56,1.08,-1.58,4.88,4.32,90.22,6.5,281,40,18,1917,5200,,,,,,,,,,,,,,,,,,,,
113,386,298.5,6.77,-0.63,0.08,8.48,1.09,-1.6,4.88,4.26,90.22,6.24,280,39.5,5,1917,5206,,,,,,,,,,,,,,,,,,,,
114,359,294.36,6.76,-0.62,0.09,8.45,1.09,-1.59,4.85,4.24,90.24,4.38,276.5,39.5,0,1917,5217,,,,,,,,,,,,,,,,,,,,
115,327,288.06,6.67,-0.62,0.09,8.33,1.09,-1.59,4.84,4.26,90.04,2.66,268.5,38,-5,1917,5232,,,,,,,,,,,,,,,,,,,,
116,302,281.95,6.68,-0.62,0.09,8.16,1.09,-1.58,4.8,4.28,88.1,2.26,263.5,37.5,-8,1917,5239,,,,,,,,,,,,,,,,,,,,
117,250,262.35,6.45,-0.63,0.09,7.37,1.09,-1.54,4.49,4.28,81.9,2.22,244.5,34.5,-5,1917,5257,,,,,,,,,,,,,,,,,,,,
118,201,241.02,6.37,-0.61,0.08,6.5,1.07,-1.51,4.13,4.3,75.1,2.42,224.5,31.5,-8,1917,5316,,,,,,,,,,,,,,,,,,,,
119,149,217.63,6.14,-0.51,0.09,5.56,0.97,-1.46,3.73,4.28,67.7,2.42,203,28,-13,1917,5337,,,,,,,,,,,,,,,,,,,,
120,102,193.19,5.84,-0.4,0.08,4.54,0.95,-1.42,3.38,4.32,59.82,2.38,179.5,24.5,-18,1917,5359,,,,,,,,,,,,,,,,,,,,
121,76,180.64,5.62,-0.41,0.11,4.03,0.95,-1.39,3.25,4.22,56.2,2.12,167.5,23,-35,1917,5411,,,,,,,,,,,,,,,,,,,,
122,49,166.06,5.52,-0.4,0.08,3.46,0.96,-1.35,3.14,4.12,51.66,2.08,153,20.5,-38,1917,5424,,,,,,,,,,,,,,,,,,,,
123,25,150.36,5.22,-0.29,0.08,2.91,0.95,-1.29,3.03,4.08,46.72,2.1,137.5,18.5,-33,1917,5438,,,,,,,,,,,,,,,,,,,,
124,10,130.99,4.78,-0.29,0.07,2.14,0.95,-1.25,2.69,4.12,41.46,3.1,119.5,16,-5,1917,5456,,,,,,,,,,,,,,,,,,,,
125,1,124.05,4.58,-0.29,0.07,1.9,0.95,-1.22,2.57,4.14,39.22,3.16,113,15.5,-5,1917,5503,,,,,,,,,,,,,,,,,,,,
126,10,122.24,4.47,-0.21,0.08,1.9,0.96,-1.14,2.53,4.28,37.84,4.44,112.5,15,3,1917,5858,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
