ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,γ3-4,γreal,,,
129,1069,42.52,2.87,3.15,-0.25,0.53,-1.1,-0.28,-2.02,0.42,0.2,12.84,-31,-6,1575,914,1409,,42.52,,0.017428571,-0.001465517,0.015963054,1069
130,1080,43.26,2.88,3.26,-0.24,0.54,-1.09,-0.28,-2.03,0.48,0.3,12.92,-31,-6,1590,914,1411,,43.26,,0.017749451,-0.001508621,0.01624083,1080
131,1095,44.01,2.98,3.45,-0.25,0.53,-1.11,-0.28,-2.04,0.56,0.36,13.02,-32,-6,1610,914,1413,,44.01,,0.018035165,-0.001594828,0.016440337,1095
132,1110,44.79,2.98,3.56,-0.25,0.55,-1.12,-0.29,-2.06,0.62,0.44,13.1,-32.5,-6.5,1625,914,1414,,44.79,,0.018378022,-0.001642241,0.016735781,1110
133,1128,45.55,3.07,3.77,-0.25,0.56,-1.13,-0.28,-2.1,0.7,0.54,13.18,-33,-7,1643,914,1416,,45.55,,0.018672527,-0.001732759,0.016939769,1128
134,1141,46.33,3.09,3.9,-0.26,0.56,-1.13,-0.28,-2.11,0.76,0.62,13.3,-33.5,-6.5,1653,914,1418,,46.33,,0.019006593,-0.001793103,0.01721349,1141
135,1149,47.09,3.2,4.09,-0.25,0.58,-1.15,-0.28,-2.12,0.82,0.7,13.36,-34,-7.5,1670,914,1420,,47.09,,0.019292308,-0.00187069,0.017421618,1149
136,1165,47.88,3.19,4.3,-0.25,0.57,-1.15,-0.29,-2.12,0.88,0.82,13.46,-35.5,-7.5,1685,914,1421,,47.88,,0.019643956,-0.001961207,0.017682749,1165
137,1177,48.64,3.29,4.41,-0.25,0.58,-1.15,-0.3,-2.14,0.94,0.9,13.52,-34,-6.5,1698,914,1423,,48.64,,0.019934066,-0.002008621,0.017925445,1177
138,1191,49.3,3.3,4.6,-0.25,0.59,-1.16,-0.29,-2.15,1,1,13.62,-35,-6.5,1713,914,1425,,49.3,,0.02021978,-0.002090517,0.018129263,1191
