#CTIME	DISP1	GAMMA1	VEL1	FORCE1	FORCETRI1	FORCESLIP1	ENERGY1	DISP2	GAMMA2	VEL2	FORCE2	FORCETRI2	FORCESLIP2	ENERGY2
1.82	0.054396	0.0001978	-1.8615	0.41862	0.67613	0.25355	0.21471	0.11642	0.00046567	-1.3597	0.60867	0.98529	0.36949	0.10326
1.84	0.013128	4.7736e-05	-2.2749	0.10384	0.16768	0.062879	0.21471	0.080235	0.00032094	-2.2291	0.42086	0.68124	0.25547	0.10326
1.86	-0.034404	-0.00012511	-2.3613	-0.2593	-0.4189	-0.15709	0.21471	0.028831	0.00011532	-2.8605	0.1534	0.24827	0.093101	0.10326
1.88	-0.07694	-0.00027978	-1.7914	-0.58528	-0.94542	-0.35453	0.21471	-0.031649	-0.0001266	-3.112	-0.1618	-0.26198	-0.098243	0.10326
1.9	-0.10356	-0.00037658	-0.84537	-0.79019	-1.2764	-0.47865	0.21471	-0.092235	-0.00036894	-2.8552	-0.47809	-0.77398	-0.29025	0.10326
1.92	-0.11188	-0.00040683	-0.063906	-0.85499	-1.381	-0.51789	0.21471	-0.14223	-0.0005689	-2.0605	-0.73968	-1.1974	-0.44904	0.10326
1.94	-0.11168	-0.00040612	-0.11056	-0.85343	-1.3785	-0.51694	0.21471	-0.17202	-0.00068809	-0.87907	-0.89634	-1.451	-0.54413	0.10326
1.96	-0.11938	-0.00043412	-0.62075	-0.91148	-1.4723	-0.55211	0.21471	-0.17712	-0.00070848	0.34468	-0.92423	-1.4961	-0.56106	0.10326
1.98	-0.13407	-0.00048751	-0.76769	-1.0235	-1.6532	-0.61996	0.21471	-0.1602	-0.00064081	1.2788	-0.83697	-1.3549	-0.50808	0.10326
2	-0.14794	-0.00053796	-0.5945	-1.1298	-1.8249	-0.68434	0.21471	-0.12912	-0.00051647	1.7453	-0.67533	-1.0932	-0.40995	0.10326
2.02	-0.15644	-0.00056886	-0.21262	-1.1953	-1.9307	-0.72403	0.21471	-0.093703	-0.00037481	1.72	-0.49058	-0.79411	-0.29779	0.10326
2.04	-0.15599	-0.00056723	0.23688	-1.1926	-1.9263	-0.72238	0.21471	-0.062862	-0.00025145	1.315	-0.32928	-0.53301	-0.19988	0.10326
2.06	-0.14621	-0.00053169	0.79614	-1.1187	-1.807	-0.67764	0.21471	-0.042394	-0.00016958	0.71875	-0.22189	-0.35918	-0.1347	0.10326
2.08	-0.12207	-0.0004439	1.6649	-0.93557	-1.5111	-0.56668	0.21471	-0.033764	-0.00013506	0.17489	-0.1763	-0.28539	-0.10702	0.10326
2.1	-0.079577	-0.00028937	2.5423	-0.61212	-0.98868	-0.37076	0.21471	-0.033393	-0.00013357	-0.072383	-0.1741	-0.28184	-0.10569	0.10326
2.12	-0.022997	-8.3625e-05	3.0316	-0.18044	-0.29139	-0.10927	0.21471	-0.033755	-0.00013502	0.10984	-0.17618	-0.2852	-0.10695	0.10326
2.14	0.038064	0.00013842	2.9816	0.28632	0.46255	0.17346	0.21471	-0.026368	-0.00010547	0.68122	-0.13825	-0.22379	-0.083921	0.10326
2.16	0.094584	0.00034394	2.6792	0.71877	1.1611	0.4354	0.21471	-0.0051787	-2.0715e-05	1.4512	-0.02854	-0.046171	-0.017314	0.10326
2.18	0.14494	0.00052707	2.3337	1.1042	1.7836	0.66886	0.21471	0.031454	0.00012582	2.1876	0.16176	0.2619	0.098213	0.10326
2.2	0.18658	0.00067849	1.7863	1.4233	2.299	0.86214	0.21471	0.080649	0.0003226	2.6738	0.41785	0.67646	0.25368	0.10326
2.22	0.21586	0.00078495	1.1569	1.648	2.662	0.99827	0.21471	0.13558	0.00054231	2.74	0.70429	1.1402	0.42756	0.10326
2.24	0.23229	0.00084469	0.44154	1.7747	2.8666	1.075	0.21471	0.18699	0.00074798	2.3204	0.97292	1.575	0.59063	0.10326
2.26	0.23231	0.00084477	-0.45653	1.7763	2.8691	1.0759	0.21471	0.2253	0.00090121	1.4401	1.1737	1.8999	0.71249	0.13239
2.28	0.21451	0.00078003	-1.2848	1.6415	2.6514	0.99427	0.21471	0.24223	0.00096893	0.20856	1.2633	2.045	0.76688	0.15303
2.3	0.18267	0.00066425	-1.8525	1.399	2.2597	0.84739	0.21471	0.23263	0.00093051	-1.1736	1.2146	1.9662	0.73734	0.15344
2.32	0.14273	0.000519	-2.0741	1.0941	1.7671	0.66268	0.21471	0.19599	0.00078397	-2.4496	1.0249	1.659	0.62215	0.15344
2.34	0.10118	0.00036794	-2.0727	0.77654	1.2543	0.47035	0.21471	0.13709	0.00054837	-3.3617	0.71863	1.1632	0.43622	0.15344
2.36	0.058349	0.00021218	-2.2872	0.44949	0.72598	0.27224	0.21471	0.065084	0.00026034	-3.7467	0.34344	0.55588	0.20846	0.15344
2.38	0.0076247	2.7726e-05	-2.8097	0.062607	0.10106	0.037898	0.21471	-0.0093185	-3.7274e-05	-3.6177	-0.044786	-0.07257	-0.027214	0.15344
2.4	-0.053533	-0.00019467	-3.2568	-0.40413	-0.65285	-0.24482	0.21471	-0.077198	-0.00030879	-3.1255	-0.39937	-0.64655	-0.24246	0.15344
2.42	-0.12069	-0.00043889	-3.412	-0.91721	-1.4816	-0.5556	0.21471	-0.13318	-0.00053271	-2.4587	-0.69207	-1.1204	-0.42014	0.15344
2.44	-0.188	-0.00068364	-3.2671	-1.4319	-2.3129	-0.86734	0.21471	-0.17551	-0.00070204	-1.7846	-0.91358	-1.4789	-0.55461	0.15344
