#GAMMA2	FORCE2
-0.033144	-1.6596
-0.033477	-1.6927
-0.033795	-1.7244
-0.034101	-1.7549
-0.0344	-1.7847
-0.034698	-1.8143
-0.035001	-1.8445
-0.035318	-1.876
-0.03566	-1.91
-0.036037	-1.9475
-0.036461	-1.9897
-0.036944	-2.0377
-0.037499	-2.0929
-0.038137	-2.1562
-0.038866	-2.2287
-0.039695	-2.3111
-0.040627	-2.4038
-0.041665	-2.5071
-0.042808	-2.6207
-0.044046	-2.7438
-0.045359	-2.8745
-0.046729	-3.0108
-0.048135	-3.1507
-0.049558	-3.2924
-0.05098	-3.434
-0.052383	-3.5737
-0.053751	-3.7099
-0.055069	-3.8412
-0.056322	-3.966
-0.057498	-4.0831
-0.058587	-4.1916
-0.059579	-4.2905
-0.060469	-4.3792
-0.061251	-4.4572
-0.061921	-4.524
-0.062476	-4.5774
-0.062915	-4.5738
-0.06324	-4.5712
-0.063454	-4.5695
-0.063558	-4.5686
-0.063554	-4.5497
-0.063446	-4.3787
-0.06325	-4.0662
-0.06299	-3.6516
-0.06269	-3.1722
-0.062366	-2.6538
-0.062026	-2.1108
-0.061674	-1.5473
-0.061307	-1.2206
-0.060904	-1.1843
-0.060457	-1.1439
-0.059968	-1.0998
-0.059442	-1.0524
-0.058882	-1.0018
-0.058293	-0.94866
-0.057679	-0.89316
-0.057042	-0.83572
-0.056388	-0.77667
-0.055721	-0.71635
-0.055042	-0.65506
-0.054355	-0.59307
-0.053663	-0.53057
-0.052967	-0.46767
-0.052267	-0.40443
-0.051562	-0.34078
-0.050851	-0.27659
-0.050133	-0.2117
-0.049404	-0.14588
-0.048662	-0.078899
-0.047904	-0.010483
-0.047128	0.05965
-0.046329	0.13701
-0.045504	0.21905
-0.044651	0.30399
-0.043763	0.39232
-0.042836	0.48456
-0.041864	0.58129
-0.04084	0.68312
-0.039759	0.79068
-0.038614	0.90464
-0.037397	1.0257
-0.036103	1.1544
-0.034724	1.2916
-0.033256	1.4376
-0.031693	1.5931
-0.030034	1.7582
-0.028275	1.9332
-0.026416	2.1181
-0.024459	2.3128
-0.022407	2.5169
-0.020265	2.7301
-0.018038	2.9517
-0.015735	3.1809
-0.013366	3.4167
-0.010955	3.6566
-0.0085295	3.8981
-0.0061139	4.1386
-0.0037319	4.3758
-0.0014054	4.6074
0.00084513	4.8316
0.0030004	5.0462
0.005045	5.0423
0.0069763	5.0267
0.008794	5.012
0.010497	4.9982
0.012085	4.9853
0.013556	4.9734
0.014908	4.9625
0.016141	4.9525
0.017254	4.9435
0.018249	4.9354
0.019126	4.9283
0.019887	4.9222
0.020531	4.917
0.021061	4.9127
0.021475	4.9093
0.02177	4.9069
0.021929	4.9056
0.021925	4.8701
0.02173	4.5616
0.021335	3.9333
0.02076	3.0157
0.020074	1.9201
0.019364	1.5294
0.018658	1.4656
0.017956	1.4022
0.017253	1.3388
0.016549	1.2752
0.01584	1.2112
0.015126	1.1466
0.014404	1.0815
0.013675	1.0156
0.012937	0.94897
0.01219	0.88145
0.01143	0.81289
0.010658	0.74311
0.0098692	0.67191
0.0090623	0.59905
0.0082347	0.52432
0.007384	0.44751
0.0065089	0.36849
0.0056086	0.2872
0.004683	0.19824
0.0037323	0.10363
0.002757	0.0065712
0.0017577	-0.092881
0.00073495	-0.19467
-0.00031049	-0.29872
-0.0013773	-0.40489
-0.0024634	-0.513
-0.003566	-0.62274
-0.0046817	-0.73379
-0.0058066	-0.84576
-0.0069368	-0.95828
-0.0080689	-1.071
-0.0091996	-1.1835
-0.010326	-1.2957
-0.011447	-1.4073
-0.01256	-1.5181
-0.013666	-1.6282
-0.014763	-1.7374
-0.015852	-1.8459
-0.016932	-1.9534
-0.018002	-2.0599
-0.01906	-2.1651
-0.020102	-2.269
-0.021128	-2.3711
-0.022134	-2.4713
-0.023118	-2.5693
-0.024079	-2.665
-0.025016	-2.7582
-0.025928	-2.8491
-0.026815	-2.9374
-0.027675	-3.0231
-0.028508	-3.106
-0.029312	-3.186
-0.030084	-3.2629
-0.030821	-3.3363
-0.031521	-3.4061
-0.032182	-3.4719
-0.032799	-3.5334
-0.03337	-3.5902
-0.03389	-3.6421
-0.034354	-3.6884
-0.034758	-3.7287
-0.035097	-3.7625
-0.035364	-3.7891
-0.035543	-3.807
-0.035616	-3.8145
-0.035562	-3.7303
-0.035365	-3.4168
-0.035025	-2.8749
-0.034559	-2.1319
-0.034006	-1.2483
-0.033434	-0.47399
-0.032896	-0.42534
-0.032393	-0.3799
-0.031922	-0.33726
-0.031476	-0.29697
-0.031051	-0.25853
-0.03064	-0.22143
-0.030238	-0.1851
-0.029838	-0.149
-0.029435	-0.11265
-0.029026	-0.075631
-0.028604	-0.037612
-0.028169	0.0016739
-0.027718	0.042462
-0.027247	0.084986
-0.026754	0.12947
-0.026237	0.17613
-0.025695	0.22508
-0.025127	0.27636
-0.024534	0.32985
-0.02392	0.38528
-0.023289	0.44224
-0.022647	0.50023
-0.022	0.55867
-0.021355	0.61695
-0.020719	0.67446
-0.020097	0.73058
-0.019499	0.78469
-0.018929	0.83619
-0.018397	0.88925
-0.017908	0.93795
-0.017475	0.98115
-0.017116	1.017
-0.016855	1.0431
-0.016717	1.0569
-0.016728	1.0256
-0.016905	0.74536
-0.017243	0.20662
-0.017714	-0.54358
-0.018253	-1.4055
-0.018789	-2.2638
-0.019267	-2.3166
-0.01968	-2.3539
-0.020031	-2.3857
-0.020323	-2.4122
-0.020559	-2.4335
-0.020739	-2.4499
-0.020866	-2.4614
-0.02094	-2.4681
-0.020964	-2.4787
-0.020939	-2.4394
-0.020869	-2.328
-0.02076	-2.1548
-0.020618	-1.9284
-0.020447	-1.6548
-0.02025	-1.3398
-0.020032	-0.99172
-0.019802	-0.6235
-0.01957	-0.2534
-0.019352	0.09614
-0.019162	0.40133
-0.019013	0.64
-0.018917	0.79409
-0.018882	0.85099
-0.018912	0.80396
-0.019008	0.65201
-0.019167	0.39927
-0.019383	0.054127
-0.01965	-0.37169
-0.019958	-0.86408
-0.020298	-1.4077
-0.020658	-1.9829
-0.021004	-2.4736
-0.021309	-2.5012
-0.021576	-2.5254
-0.021813	-2.5468
-0.022025	-2.566
-0.022221	-2.5836
-0.022403	-2.6001
-0.022576	-2.6158
-0.022741	-2.6307
-0.022899	-2.6449
-0.023048	-2.6584
-0.023187	-2.671
-0.023314	-2.6825
-0.023425	-2.6925
-0.023516	-2.7007
-0.023582	-2.7068
-0.023619	-2.7101
-0.023613	-2.6965
-0.023547	-2.5923
-0.023403	-2.362
-0.023166	-1.9846
-0.022833	-1.4538
-0.022412	-0.78145
-0.021933	-0.016211
-0.021456	0.62865
-0.021023	0.66781
-0.020634	0.70303
-0.020282	0.73482
-0.019962	0.76374
-0.019668	0.79032
-0.019394	0.81507
-0.019136	0.83842
-0.018888	0.86077
-0.018648	0.88248
-0.018412	0.90385
-0.018175	0.92521
-0.017935	0.94687
-0.017688	0.96915
-0.017431	0.99236
-0.017161	1.0168
-0.016873	1.0428
-0.016565	1.0718
-0.016233	1.1048
-0.015875	1.1405
-0.015486	1.1791
